mouse,day,recording,preprocessed
cfm005mjr,20251202,meas00,True
cfm005mjr,20251202,meas01,True
cfm005mjr,20251202,meas02,True
cfm005mjr,20251202,meas03,True
cfm005mjr,20251202,meas04,True
cfm005mjr,20251202,meas05,True
cfm005mjr,20251203,meas00,True
cfm005mjr,20251203,meas01,True
cfm005mjr,20251203,meas02,True
cfm005mjr,20251203,meas03,True
cfm005mjr,20251203,meas04,True
cfm005mjr,20251204,meas00,True
cfm005mjr,20251204,meas01,True
cfm005mjr,20251204,meas02,True
cfm005mjr,20251204,meas03,True
cfm005mjr,20251204,meas04,True
cfm005mjr,20251205,meas00,True
cfm005mjr,20251205,meas01,True
cfm005mjr,20251205,meas02,True
cfm005mjr,20251205,meas03,True
cfm005mjr,20251207,meas00,True
cfm005mjr,20251207,meas01,True
cfm005mjr,20251207,meas02,True
cfm005mjr,20251207,meas03,True
cfm005mjr,20251207,meas04,True
cfm005mjr,20251208,meas00,False
cfm005mjr,20251208,meas01,True
cfm005mjr,20251208,meas02,True
cfm005mjr,20251208,meas03,True
cfm005mjr,20251208,meas04,False
cfm005mjr,20251208,meas05,True
cfm005mjr,20251208,meas06,True
cfm005mjr,20251208,meas07,False
cfm005mjr,20251208,meas08,True
cfm006mjr,20251205,meas00,True
cfm006mjr,20251205,meas01,True
cfm006mjr,20251205,meas02,False
cfm006mjr,20251205,meas03,True
cfm006mjr,20251205,meas04,True
cfm006mjr,20251208,meas00,True
cfm006mjr,20251208,meas01,False
cfm006mjr,20251208,meas02,False
cfm006mjr,20251208,meas03,True
cfm006mjr,20251208,meas04,True
cfm006mjr,20251208,meas05,True
cfm006mjr,20251208,meas06,True
cfm006mjr,20251208,meas07,True
cfm006mjr,20251208,meas08,True
cfm006mjr,20251209,meas00,False
cfm006mjr,20251209,meas01,False
cfm006mjr,20251209,meas02,False
cfm006mjr,20251209,meas03,False
cfm006mjr,20251209,meas04,False
cfm006mjr,20251209,meas05,False
cfm006mjr,20251209,meas06,True
cfm006mjr,20251210,meas00,False
cfm006mjr,20251210,meas01,True
cfm006mjr,20251210,meas02,True
cfm006mjr,20251210,meas03,False
cfm006mjr,20251210,meas04,True
cfm006mjr,20251211,meas00,False
cfm006mjr,20251211,meas01,False
cfm006mjr,20251211,meas02,False
cfm006mjr,20251211,meas03,False
cfm006mjr,20251211,meas04,False
cfm006mjr,20251211,meas05,False
cfm007mjr,20251205,meas00,True
cfm007mjr,20251205,meas01,True
cfm007mjr,20251205,meas02,True
cfm007mjr,20251205,meas03,True
cfm007mjr,20251205,meas04,True
cfm007mjr,20251207,meas00,False
cfm007mjr,20251207,meas01,True
cfm007mjr,20251207,meas02,True
cfm007mjr,20251207,meas03,False
cfm007mjr,20251207,meas04,True
cfm007mjr,20251207,meas05,False
cfm007mjr,20251207,meas06,True
cfm007mjr,20251208,meas00,True
cfm007mjr,20251208,meas01,True
cfm007mjr,20251208,meas02,True
cfm007mjr,20251208,meas03,True
cfm007mjr,20251208,meas04,True
cfm007mjr,20251208,meas05,True
cfm007mjr,20251208,meas06,True
cfm007mjr,20251209,meas00,False
cfm007mjr,20251209,meas01,False
cfm007mjr,20251209,meas02,True
cfm007mjr,20251209,meas03,True
cfm007mjr,20251209,meas04,True
cfm007mjr,20251209,meas05,True
cfm007mjr,20251210,meas00,True
cfm007mjr,20251210,meas01,True
cfm007mjr,20251210,meas02,True
cfm007mjr,20251210,meas03,True
cfm007mjr,20251210,meas04,True
cfm007mjr,20251211,meas00,True
cfm007mjr,20251211,meas01,False
cfm007mjr,20251211,meas02,False
cfm007mjr,20251211,meas03,False
cfm007mjr,20251211,meas04,True
cfm007mjr,20251211,meas05,True
cmm004mjr,20251201,meas00,True
cmm004mjr,20251201,meas01,True
cmm004mjr,20251201,meas02,True
cmm004mjr,20251201,meas03,True
cmm004mjr,20251201,meas04,True
cmm004mjr,20251201,meas05,True
cmm004mjr,20251202,meas00,False
cmm004mjr,20251202,meas01,False
cmm004mjr,20251202,meas02,False
cmm004mjr,20251202,meas03,False
cmm004mjr,20251202,meas04,True
cmm004mjr,20251203,meas00,True
cmm004mjr,20251203,meas01,True
cmm004mjr,20251203,meas02,True
cmm004mjr,20251203,meas03,True
cmm004mjr,20251203,meas04,True
cmm004mjr,20251204,meas00,True
cmm004mjr,20251204,meas01,True
cmm004mjr,20251204,meas02,True
cmm004mjr,20251204,meas03,True
cmm004mjr,20251204,meas04,True
cmm004mjr,20251204,meas05,True
cmm004mjr,20251205,meas00,True
cmm004mjr,20251205,meas01,True
cmm004mjr,20251205,meas02,True
cmm004mjr,20251205,meas03,True
cmm004mjr,20251205,meas04,True
cmm004mjr,20251205,meas05,True
cmm004mjr,20251205,meas06,True
cmm004mjr,20251208,meas00,True
cmm004mjr,20251208,meas01,False
cmm004mjr,20251208,meas02,True
cmm004mjr,20251208,meas03,False
cmm004mjr,20251208,meas04,True
cmm004mjr,20251208,meas05,True
cmm004mjr,20251208,meas06,False
cmm004mjr,20251208,meas07,True
cmm005mjr,20251127,meas00,True
cmm005mjr,20251127,meas01,True
cmm005mjr,20251127,meas02,True
cmm005mjr,20251127,meas03,True
cmm005mjr,20251127,meas04,True
cmm005mjr,20251127,meas05,True
cmm005mjr,20251127,meas06,True
cmm005mjr,20251127,meas07,True
cmm005mjr,20251128,meas00,True
cmm005mjr,20251128,meas01,True
cmm005mjr,20251128,meas02,True
cmm005mjr,20251128,meas03,True
cmm005mjr,20251128,meas04,True
cmm005mjr,20251128,meas05,True
cmm005mjr,20251201,meas00,True
cmm005mjr,20251201,meas01,False
cmm005mjr,20251201,meas02,True
cmm005mjr,20251201,meas03,True
cmm005mjr,20251201,meas04,True
cmm005mjr,20251201,meas05,False
cmm005mjr,20251201,meas06,True
cmm005mjr,20251202,meas00,False
cmm005mjr,20251202,meas01,False
cmm005mjr,20251202,meas02,False
cmm005mjr,20251202,meas03,False
cmm005mjr,20251202,meas04,True
cmm005mjr,20251203,meas00,False
cmm005mjr,20251203,meas01,False
cmm005mjr,20251203,meas02,False
cmm005mjr,20251203,meas03,False
